Player,Team,OPP,At Bats,Runs,Hits,Total Bases,2B,3B,Home Runs,RunsBattedIn,Bases on Balls,Intentional Walks,StrikeOut,StolenBases,CaughtStealing,AVG,On-Base Percentage,Slugging Percentage,HitByPitch,sacrifice bunt,Sacrifice Flies,
Shohei Ohtani,16-Apr,vs WSH,5,0,2,2,0,0,0,0,0,0,0,0,0,0.341,0.385,0.634,0,0,0,
Shohei Ohtani,17-Apr,vs WSH,4,0,3,3,0,0,0,0,0,0,0,1,0,0.36,0.4,0.64,0,0,0,
Shohei Ohtani,19-Apr,vs NYM,4,1,1,1,0,0,0,1,1,0,1,1,0,0.356,0.4,0.622,0,0,0,
Shohei Ohtani,20-Apr,vs NYM,2,1,1,2,1,0,0,0,3,0,1,0,0,0.359,0.419,0.63,0,0,0,
Shohei Ohtani,21-Apr,vs NYM,3,2,2,5,0,0,1,2,1,0,1,0,0,0.368,0.431,0.663,0,0,0,
Shohei Ohtani,23-Apr,@ WSH,4,1,1,4,0,0,1,1,1,0,0,0,0,0.364,0.43,0.677,0,0,0,
Shohei Ohtani,24-Apr,@ WSH,6,2,3,6,3,0,0,2,0,0,1,0,0,0.371,0.433,0.695,0,0,0,
Shohei Ohtani,25-Apr,@ WSH,4,0,0,0,0,0,0,0,0,0,2,0,0,0.358,0.419,0.67,0,0,0,
Shohei Ohtani,26-Apr,@ TOR,4,2,1,4,0,0,1,1,1,0,0,0,0,0.354,0.419,0.681,0,0,0,
Shohei Ohtani,27-Apr,@ TOR,5,0,1,1,0,0,0,1,0,0,1,0,0,0.347,0.41,0.661,0,0,0,
Shohei Ohtani,28-Apr,@ TOR,4,0,0,0,0,0,0,0,0,0,1,0,0,0.336,0.399,0.639,0,0,0,
Shohei Ohtani,29-Apr,@ AZ,4,1,2,2,0,0,0,1,1,0,0,0,0,0.341,0.406,0.635,0,0,0,
Shohei Ohtani,30-Apr,@ AZ,5,0,1,1,0,0,0,0,0,0,3,0,0,0.336,0.399,0.618,0,0,0,
Mookie Betts,1-May,@ AZ,5,0,3,3,0,0,0,2,0,0,0,0,0,0.377,0.481,0.623,0,0,0,
Mookie Betts,3-May,vs ATL,5,0,0,0,0,0,0,0,0,0,0,0,0,0.363,0.466,0.6,0,0,0,
Mookie Betts,4-May,vs ATL,4,1,1,1,0,0,0,2,1,0,0,0,0,0.36,0.464,0.59,0,0,0,
Mookie Betts,5-May,vs ATL,3,1,0,0,0,0,0,0,1,0,0,0,0,0.352,0.459,0.577,0,0,0,
Mookie Betts,6-May,vs MIA,4,1,2,2,0,0,0,0,1,0,0,0,0,0.356,0.463,0.575,0,0,0,
Mookie Betts,7-May,vs MIA,3,0,0,0,0,0,0,0,0,0,1,0,0,0.349,0.455,0.564,0,0,0,
Mookie Betts,8-May,vs MIA,4,0,1,1,0,0,0,0,0,0,0,0,1,0.346,0.451,0.556,0,0,0,
Mookie Betts,10-May,@ SD,3,1,1,1,0,0,0,0,1,0,0,0,0,0.346,0.452,0.551,0,0,0,
Mookie Betts,11-May,@ SD,5,0,0,0,0,0,0,0,0,0,1,0,0,0.335,0.44,0.534,0,0,0,
Mookie Betts,12-May,@ SD,4,0,2,3,1,0,0,0,0,0,0,0,0,0.339,0.441,0.539,0,0,0,
Mookie Betts,13-May,@ SF,5,2,2,5,0,0,1,1,0,0,1,0,0,0.341,0.44,0.553,0,0,0,
Mookie Betts,14-May,@ SF,4,2,2,4,0,1,0,0,0,0,1,0,0,0.345,0.441,0.563,0,0,0,
Mookie Betts,15-May,@ SF,4,0,2,2,0,0,0,0,1,0,0,0,0,0.348,0.445,0.562,0,0,0,
Mookie Betts,16-May,vs CIN,3,1,0,0,0,0,0,0,1,0,0,0,0,0.343,0.441,0.552,0,0,0,
Mookie Betts,17-May,vs CIN,4,2,1,4,0,0,1,1,1,0,1,0,0,0.341,0.44,0.562,0,0,0,
Mookie Betts,19-May,vs CIN,5,0,1,1,0,0,0,0,0,0,0,0,0,0.337,0.435,0.553,0,0,0,
Mookie Betts,20-May,vs AZ,4,1,1,1,0,0,0,0,0,0,0,0,0,0.335,0.432,0.546,0,0,0,
Mookie Betts,21-May,vs AZ,3,0,0,0,0,0,0,0,1,0,0,1,0,0.33,0.429,0.538,0,0,0,
Mookie Betts,22-May,vs AZ,3,0,1,2,1,0,0,0,1,0,1,0,0,0.33,0.43,0.54,0,0,0,
Mookie Betts,24-May,@ CIN,4,0,3,5,2,0,0,1,1,0,0,0,0,0.338,0.438,0.554,0,0,0,
Mookie Betts,25-May,@ CIN,4,0,1,1,0,0,0,0,0,0,0,0,0,0.337,0.434,0.548,0,0,0,
Mookie Betts,26-May,@ CIN,4,0,1,1,0,0,0,0,0,0,1,0,0,0.335,0.431,0.542,0,0,0,
Mookie Betts,28-May,@ NYM,5,1,2,2,0,0,0,1,0,0,1,0,0,0.336,0.431,0.539,0,0,0,
Mookie Betts,28-May,@ NYM,5,0,2,2,0,0,0,0,0,0,0,0,0,0.338,0.43,0.536,0,0,0,
Mookie Betts,29-May,@ NYM,4,0,0,0,0,0,0,0,1,0,0,0,0,0.332,0.426,0.527,0,0,0,
Mookie Betts,31-May,vs COL,4,0,0,0,0,0,0,0,0,0,0,0,0,0.326,0.419,0.517,0,0,,
Shohei Ohtani,3-May,vs ATL,3,1,1,1,0,0,0,1,2,0,1,2,0,0.336,0.405,0.612,0,0,0,
Shohei Ohtani,4-May,vs ATL,5,2,3,6,0,0,1,2,0,0,1,0,0,0.345,0.411,0.633,0,0,0,
Shohei Ohtani,5-May,vs ATL,4,2,4,10,0,0,2,3,0,0,0,0,0,0.364,0.426,0.685,0,0,0,
Shohei Ohtani,6-May,vs MIA,3,1,2,5,0,0,1,2,1,0,1,2,0,0.37,0.434,0.705,0,0,0,
Shohei Ohtani,7-May,vs MIA,2,1,0,0,0,0,0,0,2,0,0,0,0,0.365,0.435,0.696,0,0,0,
